iter	Passed	Remaining
0	90	27042
1	127	18928
2	160	15897
3	213	15809
4	275	16237
5	316	15529
6	362	15168
7	406	14843
8	470	15211
9	509	14776
10	574	15101
11	651	15647
12	721	15922
13	791	16162
14	858	16307
15	904	16059
16	943	15712
17	976	15299
18	1021	15114
19	1067	14951
20	1107	14716
21	1149	14525
22	1201	14471
23	1241	14274
24	1270	13980
25	1296	13665
26	1335	13500
27	1376	13374
28	1409	13173
29	1441	12973
30	1494	12970
31	1550	12982
32	1576	12757
33	1668	13052
34	1723	13046
35	1776	13029
36	1807	12846
37	1856	12802
38	1899	12709
39	1936	12585
40	1974	12475
41	2040	12531
42	2089	12491
43	2129	12389
44	2165	12272
45	2222	12269
46	2248	12101
47	2281	11979
48	2310	11834
49	2344	11722
50	2390	11671
51	2475	11804
52	2541	11842
53	2593	11812
54	2620	11675
55	2659	11587
56	2741	11688
57	2810	11724
58	2850	11644
59	2907	11628
60	2960	11601
61	3005	11537
62	3043	11450
63	3086	11379
64	3141	11359
65	3189	11307
66	3226	11219
67	3261	11126
68	3300	11049
69	3349	11005
70	3378	10896
71	3413	10810
72	3467	10783
73	3506	10710
74	3543	10630
75	3581	10554
76	3625	10499
77	3661	10421
78	3686	10312
79	3718	10225
80	3750	10141
81	3795	10089
82	3862	10098
83	3904	10040
84	3962	10023
85	4015	9991
86	4055	9929
87	4079	9826
88	4103	9727
89	4182	9759
90	4230	9715
91	4274	9664
92	4319	9613
93	4376	9590
94	4415	9528
95	4479	9519
96	4511	9442
97	4553	9385
98	4595	9329
99	4634	9269
100	4665	9193
101	4700	9125
102	4739	9065
103	4777	9004
104	4846	9000
105	4919	9003
106	4942	8915
107	4961	8820
108	4980	8726
109	4999	8635
110	5024	8554
111	5047	8472
112	5113	8462
113	5153	8408
114	5186	8342
115	5220	8281
116	5281	8260
117	5333	8225
118	5376	8177
119	5435	8153
120	5510	8151
121	5587	8152
122	5649	8129
123	5682	8065
124	5727	8018
125	5787	7991
126	5811	7915
127	5863	7879
128	5910	7835
129	5963	7798
130	6004	7746
131	6042	7689
132	6078	7631
133	6127	7590
134	6167	7538
135	6209	7488
136	6251	7438
137	6294	7389
138	6318	7318
139	6339	7245
140	6389	7204
141	6416	7139
142	6439	7069
143	6471	7010
144	6507	6956
145	6530	6888
146	6580	6848
147	6634	6813
148	6669	6758
149	6724	6724
150	6769	6679
151	6798	6619
152	6833	6565
153	6867	6511
154	6936	6489
155	6991	6453
156	7031	6404
157	7070	6354
158	7092	6289
159	7110	6221
160	7154	6176
161	7176	6113
162	7223	6071
163	7276	6034
164	7320	5989
165	7366	5946
166	7414	5905
167	7457	5859
168	7489	5805
169	7512	5744
170	7602	5735
171	7658	5699
172	7708	5659
173	7771	5627
174	7820	5585
175	7886	5556
176	7928	5509
177	7996	5480
178	8081	5462
179	8150	5433
180	8180	5378
181	8268	5361
182	8338	5330
183	8367	5275
184	8396	5219
185	8429	5166
186	8480	5124
187	8504	5066
188	8528	5008
189	8638	5001
190	8692	4960
191	8808	4955
192	8872	4919
193	8924	4876
194	8969	4829
195	9041	4797
196	9080	4747
197	9118	4697
198	9172	4655
199	9237	4618
200	9336	4598
201	9429	4574
202	9497	4538
203	9559	4498
204	9583	4441
205	9606	4383
206	9966	4477
207	10040	4440
208	10096	4396
209	10156	4352
210	10193	4299
211	10259	4258
212	10308	4210
213	10344	4157
214	10367	4098
215	10493	4080
216	10563	4040
217	10636	4000
218	10698	3956
219	10766	3915
220	10829	3871
221	10894	3827
222	10918	3769
223	11090	3762
224	11172	3724
225	11231	3677
226	11315	3639
227	11391	3597
228	11465	3554
229	11553	3516
230	11577	3458
231	11715	3433
232	11800	3393
233	11859	3345
234	11884	3287
235	12009	3256
236	12078	3210
237	12152	3165
238	12239	3123
239	12354	3088
240	12431	3043
241	12490	2993
242	12543	2942
243	12603	2892
244	12656	2841
245	12724	2793
246	12788	2743
247	12890	2702
248	12978	2658
249	13043	2608
250	13082	2554
251	13137	2502
252	13181	2448
253	13228	2395
254	13272	2342
255	13326	2290
256	13409	2243
257	13438	2187
258	13479	2133
259	13501	2077
260	13528	2021
261	13562	1967
262	13599	1913
263	13626	1858
264	13650	1802
265	13727	1754
266	13767	1701
267	13814	1649
268	13862	1597
269	13903	1544
270	13943	1492
271	13975	1438
272	13996	1384
273	14058	1334
274	14081	1280
275	14103	1226
276	14155	1175
277	14207	1124
278	14248	1072
279	14299	1021
280	14338	969
281	14389	918
282	14445	867
283	14491	816
284	14548	765
285	14584	713
286	14640	663
287	14714	613
288	14762	561
289	14809	510
290	14873	460
291	14912	408
292	14959	357
293	15003	306
294	15064	255
295	15134	204
296	15188	153
297	15194	101
298	15240	50
299	15287	0
